datetime,model_type,dataset_name,batch_size,epochs,average_time_per_epoch,input_dim,depth,num_classes,train_acc,train_loss,val_acc,val_loss,test_acc,test_loss
2025-05-19 15:07:54,classical,iris,32,100,0.0206,2,0,3,0.9659,0.0472,0.931,0.1365,0.9333,0.0932
2025-05-18 21:14:31,quantum,iris,32,100,0.0,2,1,3,0.7614,0.6451,0.7586,0.7848,0.7667,0.6524
2025-05-18 21:16:42,quantum,iris,32,100,0.0,2,2,3,0.7727,0.6103,0.7586,0.7612,0.7667,0.6558
2025-05-18 21:21:08,quantum,iris,32,100,0.0,2,4,3,0.8068,0.6019,0.7931,0.7496,0.8,0.6239
2025-05-19 21:04:21,classical,iris,32,100,0.0177,4,0,3,0.9659,0.0518,1.0,0.054,0.9333,0.1567
2025-05-18 21:27:55,quantum,iris,32,100,0.0,4,1,3,0.6932,0.8741,0.5862,0.9217,0.7333,0.8051
2025-05-18 21:39:26,quantum,iris,32,100,0.0,4,2,3,0.6932,0.8353,0.6552,0.8919,0.5,0.9736
2025-05-18 22:03:42,quantum,iris,32,100,0.0,4,4,3,0.8182,0.6739,0.6207,0.8603,0.6,0.9229
2025-05-19 15:07:58,classical,wine,32,100,0.0203,2,0,3,0.8585,0.3084,0.7778,0.5085,0.7222,0.6001
2025-05-18 22:05:18,quantum,wine,32,100,0.0,2,1,3,0.7642,0.6487,0.6389,0.7784,0.6944,0.6657
2025-05-18 22:07:54,quantum,wine,32,100,0.0,2,2,3,0.8019,0.5612,0.7222,0.7229,0.7222,0.5976
2025-05-18 22:13:13,quantum,wine,32,100,0.0,2,4,3,0.8019,0.5736,0.7222,0.6586,0.7222,0.5815
2025-05-19 15:08:00,classical,wine,32,100,0.0235,4,0,3,1.0,0.0068,0.8056,0.8498,0.9167,0.4138
2025-05-18 22:21:23,quantum,wine,32,100,0.0,4,1,3,0.6132,0.9441,0.5833,0.9855,0.5278,1.0061
2025-05-18 22:35:17,quantum,wine,32,100,0.0,4,2,3,0.7736,0.7952,0.5278,0.9617,0.6667,0.941
2025-05-18 23:04:34,quantum,wine,32,100,0.0,4,4,3,0.8302,0.683,0.5,0.8955,0.8056,0.7875
2025-05-19 21:04:08,classical,diabetes,32,100,0.0435,2,0,2,0.7435,0.487,0.7273,0.533,0.6688,0.5593
2025-05-19 15:52:21,classical,diabetes,32,100,0.0526,4,0,2,0.7935,0.4536,0.7338,0.5247,0.6883,0.5694
2025-05-19 15:17:00,quantum,diabetes,32,100,0.0,2,1,2,0.7283,0.5377,0.6883,0.5456,0.6299,0.5863
2025-05-19 15:28:30,quantum,diabetes,32,100,0.0,2,2,2,0.7196,0.5346,0.6883,0.5355,0.6234,0.5872
2025-05-19 15:52:15,quantum,diabetes,32,100,0.0,2,4,2,0.7196,0.5351,0.7013,0.5419,0.6429,0.5853
2025-05-19 16:29:32,quantum,diabetes,32,100,0.0,4,1,2,0.713,0.5889,0.6558,0.6144,0.6104,0.6538
2025-05-19 17:32:20,quantum,diabetes,32,100,0.0,4,2,2,0.6978,0.5606,0.6623,0.5922,0.6883,0.615
2025-05-19 19:45:48,quantum,diabetes,32,100,0.0,4,4,2,0.7283,0.5227,0.6623,0.5733,0.6299,0.6158
